date,home_team,away_team,home_score,away_score,season
2022-11-07,North Carolina Tar Heels,UNC Wilmington Seahawks,69,56,2023
2022-11-07,Houston Cougars,Northern Colorado Bears,83,36,2023
2022-11-07,Kentucky Wildcats,Howard Bison,95,63,2023
2022-11-07,Baylor Bears,Mississippi Valley State Delta Devils,117,53,2023
2022-11-07,Kansas Jayhawks,Omaha Mavericks,89,64,2023
2022-11-07,Duke Blue Devils,Jacksonville Dolphins,71,44,2023
2022-11-07,UCLA Bruins,Sacramento State Hornets,76,50,2023
2022-11-07,Creighton Bluejays,St. Thomas-Minnesota Tommies,72,60,2023
2022-11-07,Arkansas Razorbacks,North Dakota State Bison,76,58,2023
2022-11-07,Tennessee Volunteers,Tennessee Tech Golden Eagles,75,43,2023
2022-11-07,Texas Longhorns,UTEP Miners,72,57,2023
2022-11-07,Indiana Hoosiers,Morehead State Eagles,88,53,2023
2022-11-07,TCU Horned Frogs,Arkansas-Pine Bluff Golden Lions,73,72,2023
2022-11-07,Auburn Tigers,George Mason Patriots,70,52,2023
2022-11-07,Villanova Wildcats,La Salle Explorers,81,68,2023
2022-11-07,Arizona Wildcats,Nicholls Colonels,117,75,2023
2022-11-07,Virginia Cavaliers,North Carolina Central Eagles,73,61,2023
2022-11-07,San Diego State Aztecs,Cal State Fullerton Titans,80,57,2023
2022-11-07,Alabama Crimson Tide,Longwood Lancers,75,54,2023
2022-11-07,Michigan Wolverines,Purdue Fort Wayne Mastodons,75,56,2023
2022-11-07,Illinois Fighting Illini,Eastern Illinois Panthers,87,57,2023
2022-11-07,Dayton Flyers,Lindenwood Lions,73,46,2023
2022-11-07,Texas Tech Red Raiders,Northwestern State Demons,73,49,2023
2022-11-08,Immaculata Mighty Macs,UAlbany Great Danes,47,74,2023
2022-11-08,Providence Friars,Rider Broncs,66,65,2023
2022-11-08,Purdue Boilermakers,Milwaukee Panthers,84,53,2023
2022-11-08,Detroit Mercy Titans,Rochester University (MI) Warriors,93,65,2023
2022-11-08,Hartford Hawks,Sacred Heart Pioneers,70,77,2023
2022-11-08,East Carolina Pirates,Mercer Bears,77,75,2023
2022-11-08,Duquesne Dukes,Montana Grizzlies,91,63,2023
2022-11-08,South Carolina Gamecocks,South Carolina State Bulldogs,80,77,2023
2022-11-08,Georgetown Hoyas,Coppin State Eagles,99,89,2023
2022-11-08,San José State Spartans,Georgia Southern Eagles,63,48,2023
2022-11-09,Western Illinois Leathernecks,Rockford Regents,113,56,2023
2022-11-09,Howard Bison,District of Columbia Firebirds,87,74,2023
2022-11-09,Prairie View A&M Panthers,North American Stallions,95,68,2023
2022-11-09,Robert Morris Colonials,Pittsburgh-Greensburg GREENSBURG,84,49,2023
2022-11-09,Wright State Raiders,Davidson Wildcats,97,102,2023
2022-11-09,Winthrop Eagles,Piedmont Lions,78,56,2023
2022-11-09,Marist Red Foxes,American University Eagles,73,69,2023
2022-11-09,James Madison Dukes,Hampton Pirates,106,58,2023
2022-11-09,Youngstown State Penguins,UT Martin Skyhawks,90,72,2023
2022-11-09,Fairleigh Dickinson Knights,Mercy Mavericks,106,66,2023
2022-11-09,Norfolk State Spartans,Cairn University Highlanders,87,59,2023
2022-11-09,South Alabama Jaguars,Mobile Rams,97,59,2023
