date,home_team,away_team,home_score,away_score,season
2017-11-10,Duke Blue Devils,Elon Phoenix,97,68,2018
2017-11-10,Michigan State Spartans,North Florida Ospreys,98,66,2018
2017-11-10,Arizona Wildcats,Northern Arizona Lumberjacks,101,67,2018
2017-11-10,Kansas Jayhawks,Tennessee State Tigers,92,56,2018
2017-11-10,Villanova Wildcats,Columbia Lions,75,60,2018
2017-11-10,Wichita State Shockers,Kansas City Roos,109,57,2018
2017-11-10,North Carolina Tar Heels,Northern Iowa Panthers,86,69,2018
2017-11-10,USC Trojans,Cal State Fullerton Titans,84,42,2018
2017-11-10,Miami Hurricanes,Gardner-Webb Runnin' Bulldogs,77,45,2018
2017-11-10,Minnesota Golden Gophers,South Carolina Upstate Spartans,92,77,2018
2017-11-10,Xavier Musketeers,Morehead State Eagles,101,49,2018
2017-11-10,Gonzaga Bulldogs,Texas Southern Tigers,97,69,2018
2017-11-10,Northwestern Wildcats,Loyola Maryland Greyhounds,79,75,2018
2017-11-10,Purdue Boilermakers,SIU Edwardsville Cougars,105,74,2018
2017-11-11,Duke Blue Devils,Utah Valley Wolverines,99,69,2018
2017-11-11,DePaul Blue Demons,Notre Dame Fighting Irish,58,72,2018
2017-11-11,Saint Mary's Gaels,Saint Francis Red Flash,85,68,2018
2017-11-12,Kentucky Wildcats,Vermont Catamounts,73,69,2018
2017-11-12,Miami Hurricanes,Navy Midshipmen,89,55,2018
2017-11-12,Louisville Cardinals,George Mason Patriots,72,61,2018
2017-11-13,Wichita State Shockers,Charleston Cougars,81,63,2018
2017-11-13,Florida Gators,Gardner-Webb Runnin' Bulldogs,116,74,2018
2017-11-13,USC Trojans,North Dakota State Bison,75,65,2018
2017-11-13,Cincinnati Bearcats,Western Carolina Catamounts,102,51,2018
2017-11-13,Saint Mary's Gaels,New Mexico State Aggies,92,74,2018
2017-11-13,Baylor Bears,Texas A&M-Corpus Christi Islanders,70,46,2018
2017-11-14,Villanova Wildcats,Nicholls Colonels,113,77,2018
2017-11-14,Gonzaga Bulldogs,Howard Bison,106,69,2018
2017-11-15,Minnesota Golden Gophers,Niagara Purple Eagles,107,81,2018
2017-11-15,Saint Mary's Gaels,Cal State Fullerton Titans,76,57,2018
2017-11-15,West Virginia Mountaineers,American University Eagles,98,64,2018
2017-11-16,Arizona Wildcats,Cal State Bakersfield Roadrunners,91,59,2018
2017-11-16,Florida Gators,North Florida Ospreys,108,68,2018
2017-11-16,Miami Hurricanes,Florida A&M Rattlers,90,59,2018
2017-11-16,Cincinnati Bearcats,Coppin State Eagles,97,54,2018
2017-11-16,Notre Dame Fighting Irish,Chicago State Cougars,105,66,2018
2017-11-17,Duke Blue Devils,Southern Jaguars,78,61,2018
2017-11-17,Kansas Jayhawks,South Dakota State Jackrabbits,98,64,2018
2017-11-17,Louisville Cardinals,Omaha Mavericks,87,78,2018
2017-11-18,Gonzaga Bulldogs,Utah State Aggies,79,66,2018
2017-11-18,Purdue Boilermakers,Fairfield Stags,106,64,2018
