season,team,games,off_eff,def_eff,pace
2017,Akron Zips,8,104.09,105.9,71.36
2017,Alabama State Hornets,5,93.43,110.54,69.31
2017,App State Mountaineers,5,97.2,120.99,74.14
2017,Arizona State Sun Devils,7,108.6,124.76,79.3
2017,Arizona Wildcats,24,110.68,93.27,69.3
2017,Baylor Bears,21,105.07,90.01,66.29
2017,Boston College Eagles,6,107.59,131.29,81.17
2017,Brown Bears,7,108.18,121.24,77.96
2017,Butler Bulldogs,23,112.33,100.22,72.23
2017,California Golden Bears,8,97.02,94.84,65.19
2017,Canisius Golden Griffins,8,111.16,111.89,75.79
2017,Cincinnati Bearcats,24,106.93,87.89,66.2
2017,Clemson Tigers,9,101.39,116.7,74.11
2017,Colorado Buffaloes,5,109.38,121.28,78.38
2017,Columbia Lions,7,105.07,104.45,71.2
2017,Cornell Big Red,7,93.47,105.69,67.68
2017,Creighton Bluejays,23,118.39,103.95,75.55
2017,Dartmouth Big Green,6,92.6,106.63,67.7
2017,Dayton Flyers,6,102.27,96.71,67.62
2017,DePaul Blue Demons,7,92.64,112.53,69.72
2017,Detroit Mercy Titans,8,114.42,123.85,80.97
2017,Duke Blue Devils,22,117.38,104.19,75.29
2017,Fairfield Stags,5,109.67,120.41,78.18
2017,Florida Gators,20,114.53,98.36,72.34
2017,Florida State Seminoles,21,115.78,105.56,75.21
2017,Georgetown Hoyas,9,110.25,106.55,73.67
2017,Georgia Bulldogs,5,107.06,116.35,75.92
2017,Georgia Tech Yellow Jackets,7,89.32,99.48,64.15
2017,Gonzaga Bulldogs,22,124.89,86.98,71.99
2017,Green Bay Phoenix,6,112.19,107.59,74.68
2017,Harvard Crimson,6,110.98,102.03,72.38
2017,Illinois Fighting Illini,5,95.75,119.54,73.15
2017,Indiana Hoosiers,11,120.67,99.7,74.88
2017,Iona Gaels,7,123.52,115.02,81.06
2017,Iowa State Cyclones,11,121.6,102.34,76.09
2017,Jackson State Tigers,5,87.33,89.65,60.14
2017,Kansas City Roos,5,104.74,136.37,81.93
